fecha,producto,categoria,vendedor,region,cantidad,precio_unitario,descuento_pct,monto_final
2023-01-01,Cajonera Móvil,Mobiliario,Lucía Fernández,Rosario,2,173.78,0,347.56
2023-01-03,"Monitor 24"" FHD",Tecnología,Carlos López,CABA,1,296.17,5,281.36
2023-01-03,Escritorio Esquinero,Mobiliario,Ana García,CABA,1,619.55,0,619.55
2023-01-04,Teclado Mecánico,Tecnología,Ana García,Córdoba,12,117.1,0,1405.2
2023-01-06,Silla Ejecutiva,Mobiliario,Lucía Fernández,Rosario,11,322.26,0,3544.86
2023-01-06,Mouse Inalámbrico,Tecnología,Martín Torres,GBA Norte,4,48.98,5,186.12
2023-01-06,"Monitor 27"" 4K",Tecnología,Lucía Fernández,GBA Norte,6,559.24,0,3355.44
2023-01-07,Mouse Inalámbrico,Tecnología,Martín Torres,GBA Norte,9,43.9,0,395.1
2023-01-07,Cajonera Móvil,Mobiliario,Martín Torres,Córdoba,2,180.77,0,361.54
2023-01-07,Mouse Inalámbrico,Tecnología,Ana García,Córdoba,10,48.45,0,484.5
2023-01-09,Mouse Inalámbrico,Tecnología,Martín Torres,CABA,8,47.51,5,361.08
2023-01-09,Pantalla Proyección,Audiovisual,Martín Torres,Córdoba,11,306.85,0,3375.35
2023-01-10,Webcam HD,Tecnología,Carlos López,CABA,3,92.51,0,277.53
2023-01-10,Panel LED Oficina,Iluminación,Lucía Fernández,Rosario,10,219.91,0,2199.1
2023-01-10,Escritorio Standing,Mobiliario,Lucía Fernández,GBA Sur,11,871.62,0,9587.82
2023-01-10,Silla Ergonómica Pro,Mobiliario,Martín Torres,CABA,12,467.51,0,5610.12
2023-01-11,Teclado Mecánico,Tecnología,Diego Ramírez,GBA Sur,3,130.22,5,371.13
2023-01-12,Pantalla Proyección,Audiovisual,Lucía Fernández,GBA Sur,11,298.38,0,3282.18
2023-01-12,Escritorio Esquinero,Mobiliario,Diego Ramírez,Córdoba,2,599.52,5,1139.09
2023-01-13,Auriculares Bluetooth,Tecnología,Carlos López,Córdoba,3,146.17,0,438.51
2023-01-13,Cajonera Móvil,Mobiliario,Martín Torres,Córdoba,11,184.1,0,2025.1
2023-01-14,Lámpara LED,Iluminación,Ana García,Córdoba,9,77.92,0,701.28
2023-01-15,Teclado Mecánico,Tecnología,Diego Ramírez,GBA Norte,1,121.61,0,121.61
2023-01-16,Panel LED Oficina,Iluminación,Martín Torres,Córdoba,12,200.12,0,2401.44
2023-01-16,Hub USB-C,Tecnología,Lucía Fernández,GBA Sur,11,66.14,0,727.54
2023-01-18,Notebook Pro 15,Tecnología,Martín Torres,GBA Norte,9,1158.39,0,10425.51
2023-01-19,Panel LED Oficina,Iluminación,Martín Torres,Rosario,7,208.57,0,1459.99
2023-01-20,Cajonera Móvil,Mobiliario,Lucía Fernández,Rosario,1,192.76,0,192.76
2023-01-21,Proyector Full HD,Audiovisual,Lucía Fernández,Rosario,10,791.39,5,7518.2
2023-01-22,Notebook Pro 15,Tecnología,Lucía Fernández,GBA Sur,11,1122.0,0,12342.0
2023-01-22,"Monitor 24"" FHD",Tecnología,Diego Ramírez,GBA Norte,1,334.33,0,334.33
2023-01-23,Auriculares Bluetooth,Tecnología,Ana García,GBA Sur,1,158.14,0,158.14
2023-01-25,Lámpara LED,Iluminación,Lucía Fernández,Rosario,12,71.54,5,815.56
2023-01-25,Escritorio Esquinero,Mobiliario,Carlos López,CABA,8,658.95,5,5008.02
2023-01-25,Escritorio Standing,Mobiliario,Ana García,CABA,7,895.86,0,6271.02
2023-01-26,Notebook Air 13,Tecnología,Diego Ramírez,Rosario,3,1018.73,10,2750.57
2023-01-26,Auriculares Bluetooth,Tecnología,Martín Torres,GBA Sur,7,164.86,5,1096.32
2023-01-29,Cajonera Móvil,Mobiliario,Diego Ramírez,Rosario,6,167.52,0,1005.12
2023-01-29,Proyector Full HD,Audiovisual,Ana García,CABA,6,743.91,0,4463.46
2023-01-29,Escritorio Esquinero,Mobiliario,Lucía Fernández,CABA,5,610.3,5,2898.92
2023-01-29,Notebook Air 13,Tecnología,Lucía Fernández,GBA Sur,1,898.47,0,898.47
2023-01-29,Webcam HD,Tecnología,Ana García,CABA,11,83.33,5,870.8
2023-01-29,"Monitor 27"" 4K",Tecnología,Lucía Fernández,GBA Norte,5,604.81,0,3024.05
2023-01-30,Lámpara LED,Iluminación,Carlos López,Córdoba,3,80.75,0,242.25
2023-01-30,Panel LED Oficina,Iluminación,Ana García,Córdoba,9,220.32,0,1982.88
2023-01-30,"Monitor 24"" FHD",Tecnología,Lucía Fernández,GBA Sur,4,304.15,0,1216.6
2023-02-02,Lámpara LED,Iluminación,Lucía Fernández,Córdoba,8,71.55,5,543.78
2023-02-03,Teclado Mecánico,Tecnología,Lucía Fernández,Rosario,2,114.14,10,205.45
2023-02-04,Notebook Pro 15,Tecnología,Carlos López,Rosario,12,1262.89,5,14396.95
2023-02-04,Lámpara LED,Iluminación,Diego Ramírez,Rosario,3,79.94,10,215.84
2023-02-04,Disco SSD 1TB,Tecnología,Diego Ramírez,Rosario,2,110.38,10,198.68
2023-02-04,Auriculares Bluetooth,Tecnología,Ana García,Córdoba,1,139.72,5,132.73
2023-02-06,Teclado Mecánico,Tecnología,Ana García,GBA Norte,4,126.43,0,505.72
2023-02-07,"Monitor 24"" FHD",Tecnología,Carlos López,Rosario,4,313.87,0,1255.48
2023-02-07,Escritorio Esquinero,Mobiliario,Ana García,Córdoba,2,663.49,0,1326.98
2023-02-08,Lámpara LED,Iluminación,Lucía Fernández,Córdoba,4,75.31,10,271.12
2023-02-09,Auriculares Bluetooth,Tecnología,Ana García,Rosario,12,159.04,0,1908.48
2023-02-09,Hub USB-C,Tecnología,Carlos López,CABA,6,57.14,0,342.84
2023-02-09,Hub USB-C,Tecnología,Carlos López,Córdoba,7,59.13,5,393.21
2023-02-10,Disco SSD 1TB,Tecnología,Carlos López,Córdoba,10,111.06,5,1055.07
2023-02-10,Silla Ejecutiva,Mobiliario,Lucía Fernández,CABA,3,335.78,5,956.97
2023-02-10,Auriculares Bluetooth,Tecnología,Carlos López,CABA,8,143.93,10,1036.3
2023-02-10,Webcam HD,Tecnología,Ana García,CABA,5,79.24,5,376.39
2023-02-11,Notebook Pro 15,Tecnología,Diego Ramírez,GBA Sur,12,1228.86,10,13271.69
2023-02-12,Mouse Inalámbrico,Tecnología,Ana García,Córdoba,10,43.42,0,434.2
2023-02-12,Webcam HD,Tecnología,Ana García,Córdoba,8,93.15,0,745.2
2023-02-12,Mouse Inalámbrico,Tecnología,Lucía Fernández,GBA Sur,6,45.6,5,259.92
2023-02-13,Escritorio Standing,Mobiliario,Diego Ramírez,CABA,12,857.64,5,9777.1
2023-02-14,Panel LED Oficina,Iluminación,Diego Ramírez,GBA Norte,3,206.85,0,620.55
2023-02-15,Notebook Air 13,Tecnología,Lucía Fernández,Córdoba,6,940.12,0,5640.72
2023-02-17,Auriculares Bluetooth,Tecnología,Ana García,GBA Sur,12,139.77,0,1677.24
2023-02-17,Panel LED Oficina,Iluminación,Carlos López,GBA Sur,11,218.59,0,2404.49
2023-02-19,Pantalla Proyección,Audiovisual,Ana García,Rosario,8,303.75,5,2308.5
2023-02-19,Notebook Air 13,Tecnología,Martín Torres,Córdoba,10,1008.86,5,9584.17
2023-02-21,Panel LED Oficina,Iluminación,Martín Torres,CABA,3,208.34,5,593.77
2023-02-21,Proyector Full HD,Audiovisual,Diego Ramírez,Rosario,2,826.05,10,1486.89
2023-02-21,Silla Ergonómica Pro,Mobiliario,Diego Ramírez,Rosario,8,493.61,10,3553.99
2023-02-22,"Monitor 27"" 4K",Tecnología,Lucía Fernández,GBA Sur,8,644.88,0,5159.04
2023-02-22,Silla Ejecutiva,Mobiliario,Martín Torres,GBA Sur,8,299.15,10,2153.88
2023-02-23,Panel LED Oficina,Iluminación,Martín Torres,GBA Sur,7,199.28,10,1255.46
2023-02-23,Webcam HD,Tecnología,Carlos López,Córdoba,4,79.83,0,319.32
2023-02-23,Webcam HD,Tecnología,Carlos López,Córdoba,11,91.82,0,1010.02
2023-02-25,Escritorio Standing,Mobiliario,Ana García,Córdoba,6,849.89,0,5099.34
2023-02-26,Auriculares Bluetooth,Tecnología,Ana García,Rosario,9,148.36,10,1201.72
2023-02-27,"Monitor 27"" 4K",Tecnología,Lucía Fernández,GBA Norte,5,545.99,0,2729.95
2023-02-27,Silla Ejecutiva,Mobiliario,Ana García,GBA Sur,10,297.8,0,2978.0
2023-02-27,Notebook Air 13,Tecnología,Lucía Fernández,Córdoba,1,1027.86,10,925.07
2023-02-27,"Monitor 27"" 4K",Tecnología,Lucía Fernández,GBA Norte,1,598.3,0,598.3
2023-02-27,Escritorio Standing,Mobiliario,Martín Torres,Rosario,9,934.97,0,8414.73
2023-02-27,Pantalla Proyección,Audiovisual,Martín Torres,Córdoba,8,291.66,5,2216.62
2023-02-28,Mouse Inalámbrico,Tecnología,Martín Torres,GBA Sur,11,47.7,0,524.7
2023-02-28,Cajonera Móvil,Mobiliario,Lucía Fernández,Córdoba,12,166.98,0,2003.76
2023-03-01,Mouse Inalámbrico,Tecnología,Carlos López,CABA,10,49.76,5,472.72
2023-03-02,Auriculares Bluetooth,Tecnología,Martín Torres,GBA Sur,12,141.2,10,1524.96
2023-03-03,Cajonera Móvil,Mobiliario,Carlos López,Rosario,6,183.16,0,1098.96
2023-03-03,Notebook Air 13,Tecnología,Carlos López,Córdoba,12,980.09,5,11173.03
2023-03-04,Silla Ejecutiva,Mobiliario,Carlos López,GBA Sur,9,338.76,5,2896.4
2023-03-06,Escritorio Standing,Mobiliario,Carlos López,GBA Norte,9,874.37,0,7869.33
2023-03-06,Escritorio Esquinero,Mobiliario,Martín Torres,GBA Norte,3,689.39,10,1861.35
2023-03-08,"Monitor 27"" 4K",Tecnología,Ana García,GBA Norte,8,609.79,0,4878.32
2023-03-09,Escritorio Standing,Mobiliario,Lucía Fernández,GBA Sur,2,905.03,0,1810.06
2023-03-10,Mouse Inalámbrico,Tecnología,Ana García,CABA,3,45.19,0,135.57
2023-03-12,Disco SSD 1TB,Tecnología,Ana García,GBA Sur,1,102.19,5,97.08
2023-03-12,Webcam HD,Tecnología,Diego Ramírez,CABA,3,88.5,5,252.22
2023-03-12,Escritorio Standing,Mobiliario,Diego Ramírez,GBA Norte,9,900.05,5,7695.43
2023-03-12,Panel LED Oficina,Iluminación,Diego Ramírez,GBA Norte,4,201.02,0,804.08
